,,,,くりゃ,来りゃ,906,906,9571,動詞,非自立,*,*,カ変・来ル,仮定縮約１,来る,クリャ,クリャ
,,,,くん,来ん,908,908,9815,動詞,非自立,*,*,カ変・来ル,体言接続特殊,来る,クン,クン
,,,,く,来,909,909,11170,動詞,非自立,*,*,カ変・来ル,体言接続特殊２,来る,ク,ク
,,,,いたす,致す,1039,1039,9153,動詞,非自立,*,*,五段・サ行,基本形,致す,イタス,イタス
,,,,いたさ,致さ,1047,1047,9165,動詞,非自立,*,*,五段・サ行,未然形,致す,イタサ,イタサ
,,,,いたそ,致そ,1043,1043,9158,動詞,非自立,*,*,五段・サ行,未然ウ接続,致す,イタソ,イタソ
,,,,いたし,致し,1055,1055,9424,動詞,非自立,*,*,五段・サ行,連用形,致す,イタシ,イタシ
,,,,いたせ,致せ,1031,1031,9153,動詞,非自立,*,*,五段・サ行,仮定形,致す,イタセ,イタセ
,,,,いたせ,致せ,1051,1051,9153,動詞,非自立,*,*,五段・サ行,命令ｅ,致す,イタセ,イタセ
,,,,いたしゃ,致しゃ,1035,1035,9153,動詞,非自立,*,*,五段・サ行,仮定縮約１,致す,イタシャ,イタシャ
,,,,だす,出す,1037,1037,11150,動詞,非自立,*,*,五段・サ行,基本形,出す,ダス,ダス
,,,,ださ,出さ,1045,1045,10182,動詞,非自立,*,*,五段・サ行,未然形,出す,ダサ,ダサ
,,,,だそ,出そ,1041,1041,10567,動詞,非自立,*,*,五段・サ行,未然ウ接続,出す,ダソ,ダソ
,,,,だし,出し,1053,1053,11034,動詞,非自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ
,,,,だせ,出せ,1029,1029,10190,動詞,非自立,*,*,五段・サ行,仮定形,出す,ダセ,ダセ
,,,,だせ,出せ,1049,1049,10190,動詞,非自立,*,*,五段・サ行,命令ｅ,出す,ダセ,ダセ
,,,,だしゃ,出しゃ,1033,1033,10197,動詞,非自立,*,*,五段・サ行,仮定縮約１,出す,ダシャ,ダシャ
